Ano,Mes,Valor_Absoluto(%),Valor_CDI(%),Tipo
2025,Janeiro,1.64,162.49,Mensal
2025,Fevereiro,1.05,107.00,Mensal
2025,Março,1.69,175.89,Mensal
2025,Abril,-0.07,-132.03,Mensal
2025,Anual,4.37,143.97,Anual
2025,Acumulado,57.37,93.47,Acumulado
2024,Janeiro,0.64,66.03,Mensal
2024,Fevereiro,2.02,252.33,Mensal
2024,Março,0.49,58.32,Mensal
2024,Abril,-1.55,-174.18,Mensal
2024,Maio,1.37,163.98,Mensal
2024,Junho,-0.85,-107.78,Mensal
2024,Julho,2.24,247.18,Mensal
2024,Agosto,0.81,93.71,Mensal
2024,Setembro,-0.11,-13.18,Mensal
2024,Outubro,-0.26,-27.86,Mensal
2024,Novembro,-0.40,-50.52,Mensal
2024,Dezembro,-1.95,-210.17,Mensal
2024,Anual,2.39,21.95,Anual
2024,Acumulado,50.77,89.68,Acumulado
2023,Janeiro,0.38,33.74,Mensal
2023,Fevereiro,-0.10,-10.39,Mensal
2023,Março,2.38,202.25,Mensal
2023,Abril,1.62,176.81,Mensal
2023,Maio,3.20,284.71,Mensal
2023,Junho,2.35,219.16,Mensal
2023,Julho,1.32,123.17,Mensal
2023,Agosto,0.62,54.04,Mensal
2023,Setembro,-0.57,-58.86,Mensal
2023,Outubro,-0.61,-60.80,Mensal
2023,Novembro,2.20,240.03,Mensal
2023,Dezembro,2.34,261.14,Mensal
2023,Anual,16.12,123.55,Anual
2023,Acumulado,47.26,114.54,Acumulado
2022,Janeiro,-0.22,-29.97,Mensal
2022,Fevereiro,0.67,89.68,Mensal
2022,Março,2.84,307.96,Mensal
2022,Abril,1.15,137.55,Mensal
2022,Maio,1.15,111.24,Mensal
2022,Junho,0.41,40.38,Mensal
2022,Julho,-0.45,-43.62,Mensal
2022,Agosto,0.65,55.35,Mensal
2022,Setembro,0.32,29.43,Mensal
2022,Outubro,0.38,37.43,Mensal
2022,Novembro,-1.35,-132.72,Mensal
2022,Dezembro,0.05,4.20,Mensal
2022,Anual,5.67,45.83,Anual
2022,Acumulado,26.81,107.45,Acumulado
2021,Janeiro,0.04,25.04,Mensal
2021,Fevereiro,-0.98,-728.42,Mensal
2021,Março,0.28,143.50,Mensal
2021,Abril,1.43,689.37,Mensal
2021,Maio,0.71,266.84,Mensal
2021,Junho,0.39,127.14,Mensal
2021,Julho,0.08,22.75,Mensal
2021,Agosto,-0.11,-26.48,Mensal
2021,Setembro,0.43,99.08,Mensal
2021,Outubro,-1.26,-262.84,Mensal
2021,Novembro,3.07,523.42,Mensal
2021,Dezembro,0.82,107.29,Mensal
2021,Anual,4.95,112.56,Anual
2021,Acumulado,20.01,178.72,Acumulado
2020,Janeiro,0.93,248.11,Mensal
2020,Fevereiro,0.50,170.48,Mensal
2020,Março,-4.83,-1419.28,Mensal
2020,Abril,1.76,617.55,Mensal
2020,Maio,1.87,783.61,Mensal
2020,Junho,1.51,702.49,Mensal
2020,Julho,2.43,1248.95,Mensal
2020,Agosto,-0.03,-16.54,Mensal
2020,Setembro,-0.25,-156.95,Mensal
2020,Outubro,0.84,535.13,Mensal
2020,Novembro,1.63,1092.06,Mensal
2020,Dezembro,3.12,1900.49,Mensal
2020,Anual,9.68,349.59,Anual
2020,Acumulado,14.35,220.31,Acumulado
2019,Maio,0.43,124.98,Mensal
2019,Junho,1.50,320.81,Mensal
2019,Julho,0.21,36.39,Mensal
2019,Agosto,-0.34,-66.86,Mensal
2019,Setembro,1.41,301.77,Mensal
2019,Outubro,0.58,121.35,Mensal
2019,Novembro,-1.32,-346.68,Mensal
2019,Dezembro,1.75,464.16,Mensal
2019,Anual,4.26,116.95,Anual
2019,Acumulado,4.26,116.95,Acumulado
